Название,Автор,Обложка,Статус,Дата добавления,Жанр,Комментарий,Связь - Книги,Ссылка,Темы
Процесс,Франц Кафка,https://cv4.litres.ru/pub/c/elektronnaya-kniga/cover_415/140649-franc-kafka-process.jpg,В планах,"September 28, 2022 2:09 AM",Книги по саморазвитию,,,https://www.litres.ru/franc-kafka/process/,
Портрет Дориана Грея,Оскар Уайльд,https://cv2.litres.ru/pub/c/elektronnaya-kniga/cover_415/130224-oskar-uayld-portret-doriana-greya-130224.jpg,В планах,"September 28, 2022 2:10 AM",Развлекательная литература,,,https://www.litres.ru/oskar-uayld/portret-doriana-greya-130224/,
Плаха,Чингиз Айтматов,https://cv5.litres.ru/pub/c/elektronnaya-kniga/cover_415/132358-chingiz-aytmatov-plaha.jpg,В планах,"September 28, 2022 2:10 AM",Развлекательная литература,,,https://www.litres.ru/chingiz-aytmatov/plaha/,
Нравственные письма к Луцилию,Луций Анней Сенека,https://cv4.litres.ru/pub/c/elektronnaya-kniga/cover_415/9360746-luciy-anney-seneka-nravstvennye-pisma-k-luciliu.jpg,В планах,"September 28, 2022 2:11 AM",Развлекательная литература,,,https://www.litres.ru/luciy-anney-seneka/nravstvennye-pisma-k-luciliu/,
Над пропастью во ржи,Дж. Д. Сэлинджер,https://cv8.litres.ru/pub/c/elektronnaya-kniga/cover_415/127781-dzherom-devid-selindzher-48197-nad-propastu-vo-rzhi.jpg,В планах,"September 28, 2022 2:12 AM",Развлекательная литература,,,https://www.litres.ru/dzherom-devid-selindzher-48197/nad-propastu-vo-rzhi/,
На Западном фронте без перемен,Эрих Мария Ремарк,https://cv2.litres.ru/pub/c/elektronnaya-kniga/cover_415/32878920-erih-mariya-remark-na-zapadnom-fronte-bez-peremen-32878920.jpg,В планах,"September 28, 2022 2:12 AM",Развлекательная литература,,,https://www.litres.ru/erih-mariya-remark/na-zapadnom-fronte-bez-peremen-32878920/,
Мы,Евгений Замятин,https://cv8.litres.ru/pub/c/elektronnaya-kniga/cover_330/171987-evgeniy-zamyatin-my-171987.jpg,В планах,"September 28, 2022 2:12 AM",Развлекательная литература,,,https://www.litres.ru/evgeniy-zamyatin/my-171987/,
Куда жить,Владимир Леви,https://s1.livelib.ru/boocover/1001497902/200x305/28f6/boocover.jpg,В планах,"September 28, 2022 2:13 AM",Развлекательная литература,,,https://www.livelib.ru/book/1001497902-kuda-zhit-vladimir-levi,
Королевская битва,Косюн Таками,https://s1.livelib.ru/boocover/1002728719/200x305/2893/boocover.jpg,В планах,"September 28, 2022 2:13 AM",Развлекательная литература,,,https://www.livelib.ru/book/1002728719-korolevskaya-bitva-kosyun-takami,
Исследования одной собаки,Франц Кафка,https://s1.livelib.ru/boocover/1000448559/200x305/e125/boocover.jpg,В планах,"September 28, 2022 2:14 AM",Развлекательная литература,,,https://www.livelib.ru/book/1000448559-issledovaniya-odnoj-sobaki-frants-kafka,
Замок,Франц Кафка,https://s1.livelib.ru/boocover/1001674072/200x305/bfa7/boocover.jpg,В планах,"September 28, 2022 2:14 AM",Развлекательная литература,,,https://www.livelib.ru/book/1001674072-zamok-frants-kafka,
Жесткий тайм-менеджмент. Возьмите свою жизнь под контроль,Дэн Кеннеди,https://s1.livelib.ru/boocover/1002619025/200x305/c87c/boocover.jpg,В планах,"September 28, 2022 2:14 AM",Книги по саморазвитию,,,https://www.livelib.ru/book/1002619025-zhestkij-tajmmenedzhment-vozmite-svoyu-zhizn-pod-kontrol-den-kennedi,
Дивергент (серия книг),Вероника Рот,https://cv3.litres.ru/pub/c/elektronnaya-kniga/cover_415/4360835-veronika-rot-divergent.jpg,В планах,"September 28, 2022 2:15 AM",Развлекательная литература,,,https://www.litres.ru/veronika-rot/divergent/,
День триффидов,Джон Уиндем,https://cv5.litres.ru/pub/c/elektronnaya-kniga/cover_415/18310054-dzhon-uindem-den-triffidov.jpg,В планах,"September 28, 2022 2:16 AM",Развлекательная литература,,,https://www.litres.ru/dzhon-uindem/den-triffidov/,
Граф Монте-Кристо,Александр Дюма,https://cv2.litres.ru/pub/c/elektronnaya-kniga/cover_330/122729-aleksandr-duma-graf-monte-kristo.jpg,В планах,"September 28, 2022 2:16 AM",Развлекательная литература,,,https://www.litres.ru/aleksandr-duma/graf-monte-kristo/,
Братья Карамазовы,Федор Достоевский,https://cv4.litres.ru/pub/c/elektronnaya-kniga/cover_330/171949-fedor-dostoevskiy-bratya-karamazovy-171949.jpg,В планах,"September 28, 2022 2:17 AM",Развлекательная литература,,,https://www.litres.ru/fedor-dostoevskiy/bratya-karamazovy-171949/,
"Бойня номер пять, или Крестовый поход детей",Курт Воннегут,https://s1.livelib.ru/boocover/1000025445/200x305/ea35/boocover.jpg,В планах,"September 28, 2022 2:18 AM",Развлекательная литература,,,https://www.livelib.ru/book/1000025445-bojnya-nomer-pyat-ili-krestovyj-pohod-detej-kurt-vonnegut,
Божественная комедия,Данте Алигьери,https://cv7.litres.ru/pub/c/elektronnaya-kniga/cover_415/22136176-dante-aligeri-bozhestvennaya-komediya-22136176.jpg,В планах,"September 28, 2022 2:18 AM",Развлекательная литература,,,https://www.litres.ru/dante-aligeri/bozhestvennaya-komediya-22136176/,
